name_file,name_model,target,version,date_add,true_negative,false_positive,false_negative,true_positive,accuracy,precision,recall,auc_roc,f1_score
logistic_regression_v1.6_bl_target_10P_7d,lr_pb_10P_7d,bl_target_10P_7d,v1.6,2024-08-03,761,482,132,171,0.6028460543337646,0.26186830015313933,0.5643564356435643,0.6271662564486536,0.35774058577405854
random_forest_v1.6_bl_target_10P_7d,rf_pb_10P_7d,bl_target_10P_7d,v1.6,2024-08-03,998,245,60,243,0.8027166882276844,0.4979508196721312,0.801980198019802,0.8831237106011486,0.6144121365360303
XGB_v1.6_bl_target_10P_7d,Xv_pb_10P_7d,bl_target_10P_7d,v1.6,2024-08-03,938,305,66,237,0.7600258732212161,0.43726937269372695,0.7821782178217822,0.8376359759869793,0.5609467455621303
logistic_regression_v1.6_bl_target_15P_7d,lr_pb_15P_7d,bl_target_15P_7d,v1.6,2024-08-03,794,567,64,121,0.591849935316947,0.17587209302325582,0.654054054054054,0.6661437337410886,0.27720504009163804
random_forest_v1.6_bl_target_15P_7d,rf_pb_15P_7d,bl_target_15P_7d,v1.6,2024-08-03,1066,295,40,145,0.7833117723156533,0.32954545454545453,0.7837837837837838,0.8358520166014655,0.464
XGB_v1.6_bl_target_15P_7d,Xv_pb_15P_7d,bl_target_15P_7d,v1.6,2024-08-03,995,366,35,150,0.740620957309185,0.29069767441860467,0.8108108108108109,0.8206326826459083,0.427960057061341
logistic_regression_v1.6_bl_target_20P_7d,lr_pb_20P_7d,bl_target_20P_7d,v1.6,2024-08-03,910,524,40,72,0.6351875808538163,0.12080536912751678,0.6428571428571429,0.687375473201833,0.20338983050847456
random_forest_v1.6_bl_target_20P_7d,rf_pb_20P_7d,bl_target_20P_7d,v1.6,2024-08-03,1157,277,26,86,0.8040103492884865,0.2369146005509642,0.7678571428571429,0.8581048266586969,0.36210526315789476
XGB_v1.6_bl_target_20P_7d,Xv_pb_20P_7d,bl_target_20P_7d,v1.6,2024-08-03,1136,298,26,86,0.7904269081500647,0.22395833333333334,0.7678571428571429,0.8430775552898984,0.34677419354838707
logistic_regression_v1.6_bl_target_25P_7d,lr_pb_25P_7d,bl_target_25P_7d,v1.6,2024-08-03,909,570,10,57,0.6248382923673997,0.09090909090909091,0.8507462686567164,0.8051224607187188,0.16426512968299714
random_forest_v1.6_bl_target_25P_7d,rf_pb_25P_7d,bl_target_25P_7d,v1.6,2024-08-03,1148,331,8,59,0.7807244501940491,0.15128205128205127,0.8805970149253731,0.8988071811328752,0.25820568927789933
XGB_v1.6_bl_target_25P_7d,Xv_pb_25P_7d,bl_target_25P_7d,v1.6,2024-08-03,1060,419,10,57,0.722509702457956,0.11974789915966387,0.8507462686567164,0.8575126396415489,0.2099447513812155
